1:15:20 31% (2h44m left); send: 950863 271 p/s (210 p/s avg); recv: 4141 5 p/s (0 p/s avg); drops: 0 p/s (0 p/s avg); hitrate: 0.44%
1:15:21 31% (2h44m left); send: 951151 287 p/s (210 p/s avg); recv: 4146 4 p/s (0 p/s avg); drops: 0 p/s (0 p/s avg); hitrate: 0.44%
1:15:22 31% (2h44m left); send: 951434 282 p/s (210 p/s avg); recv: 4148 1 p/s (0 p/s avg); drops: 0 p/s (0 p/s avg); hitrate: 0.44%
1:15:23 31% (2h44m left); send: 951714 279 p/s (210 p/s avg); recv: 4153 4 p/s (0 p/s avg); drops: 0 p/s (0 p/s avg); hitrate: 0.44%
1:15:24 31% (2h44m left); send: 951969 254 p/s (210 p/s avg); recv: 4155 1 p/s (0 p/s avg); drops: 0 p/s (0 p/s avg); hitrate: 0.44%
1:15:25 31% (2h44m left); send: 952250 280 p/s (210 p/s avg); recv: 4159 3 p/s (0 p/s avg); drops: 0 p/s (0 p/s avg); hitrate: 0.44%
1:15:26 31% (2h44m left); send: 952317 66 p/s (210 p/s avg); recv: 4159 0 p/s (0 p/s avg); drops: 0 p/s (0 p/s avg); hitrate: 0.44%
1:15:27 31% (2h44m left); send: 952317 0 p/s (210 p/s avg); recv: 4159 0 p/s (0 p/s avg); drops: 0 p/s (0 p/s avg); hitrate: 0.44%
1:15:28 31% (2h44m left); send: 952317 0 p/s (210 p/s avg); recv: 4159 0 p/s (0 p/s avg); drops: 0 p/s (0 p/s avg); hitrate: 0.44%
1:15:29 31% (2h44m left); send: 952424 106 p/s (210 p/s avg); recv: 4159 0 p/s (0 p/s avg); drops: 0 p/s (0 p/s avg); hitrate: 0.44%
1:15:30 31% (2h44m left); send: 952578 153 p/s (210 p/s avg); recv: 4159 0 p/s (0 p/s avg); drops: 0 p/s (0 p/s avg); hitrate: 0.44%
1:15:31 31% (2h44m left); send: 952578 0 p/s (210 p/s avg); recv: 4159 0 p/s (0 p/s avg); drops: 0 p/s (0 p/s avg); hitrate: 0.44%
1:15:32 31% (2h44m left); send: 952578 0 p/s (210 p/s avg); recv: 4159 0 p/s (0 p/s avg); drops: 0 p/s (0 p/s avg); hitrate: 0.44%
1:15:33 31% (2h44m left); send: 952694 115 p/s (210 p/s avg); recv: 4159 0 p/s (0 p/s avg); drops: 0 p/s (0 p/s avg); hitrate: 0.44%
1:15:34 31% (2h44m left); send: 952952 257 p/s (210 p/s avg); recv: 4159 0 p/s (0 p/s avg); drops: 0 p/s (0 p/s avg); hitrate: 0.44%
1:15:35 31% (2h44m left); send: 953247 294 p/s (210 p/s avg); recv: 4159 0 p/s (0 p/s avg); drops: 0 p/s (0 p/s avg); hitrate: 0.44%
1:15:36 31% (2h44m left); send: 953441 193 p/s (210 p/s avg); recv: 4160 0 p/s (0 p/s avg); drops: 0 p/s (0 p/s avg); hitrate: 0.44%
1:15:37 31% (2h44m left); send: 953739 297 p/s (210 p/s avg); recv: 4166 5 p/s (0 p/s avg); drops: 0 p/s (0 p/s avg); hitrate: 0.44%
1:15:38 31% (2h44m left); send: 954005 265 p/s (210 p/s avg); recv: 4170 3 p/s (0 p/s avg); drops: 0 p/s (0 p/s avg); hitrate: 0.44%
1:15:39 32% (2h44m left); send: 954278 272 p/s (210 p/s avg); recv: 4176 5 p/s (0 p/s avg); drops: 0 p/s (0 p/s avg); hitrate: 0.44%
1:15:40 32% (2h44m left); send: 954567 288 p/s (210 p/s avg); recv: 4180 3 p/s (0 p/s avg); drops: 0 p/s (0 p/s avg); hitrate: 0.44%
